GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S11,HD02_S11,HD01_S12,HD02_S12,HD01_S13,HD02_S13,HD01_S14,HD02_S14,HD01_S15,HD02_S15,HD01_S16,HD02_S16,HD01_S17,HD02_S17,HD01_S18,HD02_S18,HD01_S19,HD02_S19,HD01_S20,HD02_S20,HD01_S21,HD02_S21,HD01_S22,HD02_S22,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37
Id,Id2,Geography,Number; HOUSEHOLD TYPE - Total households,Percent; HOUSEHOLD TYPE - Total households,Number; HOUSEHOLD TYPE - Total households - Family households [1],Percent; HOUSEHOLD TYPE - Total households - Family households [1],Number; HOUSEHOLD TYPE - Total households - Family households [1] - Male householder,Percent; HOUSEHOLD TYPE - Total households - Family households [1] - Male householder,Number; HOUSEHOLD TYPE - Total households - Family households [1] - Female householder,Percent; HOUSEHOLD TYPE - Total households - Family households [1] - Female householder,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2],Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2],Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder - Living alone,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder - Living alone,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder - Living alone,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder - Living alone,Number; HOUSEHOLD SIZE - Total households,Percent; HOUSEHOLD SIZE - Total households,Number; HOUSEHOLD SIZE - Total households - 1-person household,Percent; HOUSEHOLD SIZE - Total households - 1-person household,Number; HOUSEHOLD SIZE - Total households - 2-person household,Percent; HOUSEHOLD SIZE - Total households - 2-person household,Number; HOUSEHOLD SIZE - Total households - 3-person household,Percent; HOUSEHOLD SIZE - Total households - 3-person household,Number; HOUSEHOLD SIZE - Total households - 4-person household,Percent; HOUSEHOLD SIZE - Total households - 4-person household,Number; HOUSEHOLD SIZE - Total households - 5-person household,Percent; HOUSEHOLD SIZE - Total households - 5-person household,Number; HOUSEHOLD SIZE - Total households - 6-person household,Percent; HOUSEHOLD SIZE - Total households - 6-person household,Number; HOUSEHOLD SIZE - Total households - 7-or-more-person household,Percent; HOUSEHOLD SIZE - Total households - 7-or-more-person household,Number; HOUSEHOLD SIZE - Total households - Average household size,Percent; HOUSEHOLD SIZE - Total households - Average household size,Number; HOUSEHOLD SIZE - Total households - Average family size,Percent; HOUSEHOLD SIZE - Total households - Average family size,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3],Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3],Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 years only,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - 6 to 17 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - 6 to 17 years only,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 years only,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - 6 to 17 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - 6 to 17 years only,"Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 years only","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 years only","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - 6 to 17 years only","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - 6 to 17 years only"
1600000US0606000,0606000,"Berkeley city, California",46029,100.0,18792,40.8,11096,24.1,7696,16.7,27237,59.2,12931,28.1,7842,17.0,14306,31.1,9062,19.7,46029,100.0,16904,36.7,15679,34.1,6605,14.3,4534,9.9,1394,3.0,521,1.1,392,0.9,2.17, ( X ) ,2.81, ( X ) ,18792,100.0,8340,44.4,7785,41.4,2346,12.5,1156,6.2,4283,22.8,13569,100.0,5587,41.2,5433,40.0,1902,14.0,911,6.7,2620,19.3,3855,100.0,2121,55.0,1808,46.9,337,8.7,202,5.2,1269,32.9
